chr	start_bp	end_bp	pass	median_depth	pass_depth	length_kb	pass_length	mapp	pass_mapp	gc	pass_gc
22	21345867	21346168	0	9	0	0.302	1	1	1	64.24	1
22	21346453	21346708	1	53.5	1	0.256	1	1	1	60.55	1
22	21347033	21347243	0	12	0	0.211	1	1	1	64.93	1
22	21347901	21348093	0	20	0	0.193	1	1	1	63.73	1
22	21348163	21348608	1	27	1	0.446	1	1	1	67.94	1
22	21348797	21349066	1	63.5	1	0.27	1	1	1	64.07	1
22	21349109	21349365	1	95.5	1	0.257	1	1	1	61.87	1
22	21349985	21350451	1	151.5	1	0.467	1	1	1	62.74	1
22	21350935	21351305	1	94.5	1	0.371	1	1	1	61.19	1
22	21351471	21351687	1	57	1	0.217	1	1	1	63.13	1
22	21354119	21354771	1	73.5	1	0.653	1	1	1	65.08	1
22	21354886	21355126	1	173	1	0.241	1	1	1	58.92	1
22	21355495	21355750	1	98.5	1	0.256	1	1	1	65.23	1
22	21356071	21356250	0	2	0	0.18	1	1	1	68.89	1
22	21369444	21369677	1	148	1	0.234	1	1	1	60.26	1
22	21370181	21370431	0	7.5	0	0.251	1	1	1	59.36	1
22	21372227	21372399	1	24	1	0.173	1	1	1	57.23	1
22	21376914	21377090	0	18	0	0.177	1	1	1	66.67	1
22	21377181	21377957	1	377	1	0.777	1	1	1	58.94	1
22	21380044	21380237	0	9	0	0.194	1	1	1	64.43	1
22	21380249	21380415	0	13	0	0.167	1	1	1	64.67	1
22	21380490	21380956	1	37.5	1	0.467	1	1	1	61.03	1
22	21383294	21383569	1	57	1	0.276	1	1	1	62.68	1
22	21383575	21383783	1	74	1	0.209	1	1	1	61.72	1
22	21383950	21384690	1	126.5	1	0.741	1	1	1	62.08	1
22	21385070	21386151	1	168	1	1.082	1	1	1	62.94	1
22	21797070	21797196	0	1	0	0.127	1	1	1	72.44	1
22	21799161	21801082	1	477	1	1.922	1	1	1	65.09	1
22	21921983	21922110	0	3	0	0.128	1	1	1	66.41	1
22	21947100	21947295	1	89.5	1	0.196	1	1	1	40.82	1
22	21965096	21965382	0	99	1	0.287	1	0.824034334763948	0	46.69	1
22	21975754	21976008	0	80	1	0.255	1	0.615384615384615	0	49.41	1
22	21982657	21983126	1	80	1	0.47	1	1	1	67.66	1
22	21983249	21983526	0	1	0	0.278	1	1	1	73.38	1
22	21983547	21983746	0	7	0	0.2	1	1	1	68	1
22	21983841	21984353	1	31	1	0.513	1	1	1	72.32	1
22	21987420	21987592	0	2	0	0.173	1	1	1	65.9	1
22	21988261	21988909	1	383	1	0.649	1	1	1	63.48	1
22	21988924	21989605	1	408.5	1	0.682	1	1	1	61.29	1
22	21990671	21991352	1	244	1	0.682	1	1	1	59.68	1
22	21996576	21996862	0	2	0	0.287	1	1	1	73.52	1
22	21997101	21997397	0	5	0	0.297	1	1	1	69.7	1
22	21998133	21998514	1	66.5	1	0.382	1	1	1	59.69	1
22	22020338	22020470	0	11	0	0.133	1	1	1	60.15	1
22	22024151	22024301	1	55.5	1	0.151	1	1	1	45.7	1
22	22024804	22024950	1	135	1	0.147	1	1	1	34.01	1
22	22025235	22025398	1	179.5	1	0.164	1	1	1	46.95	1
22	22026568	22026720	1	54	1	0.153	1	1	1	51.63	1
22	22029302	22029454	1	86.5	1	0.153	1	1	1	45.1	1
22	22035538	22035729	1	65.5	1	0.192	1	1	1	59.9	1
22	22036676	22036865	1	47	1	0.19	1	1	1	60	1
22	22037420	22037596	1	100.5	1	0.177	1	1	1	46.33	1
