chr	start_bp	end_bp	pass	median_depth	pass_depth	length_kb	pass_length	mapp	pass_mapp	gc	pass_gc
22	21345867	21346168	FALSE	9	FALSE	0.302	TRUE	1	TRUE	64.24	TRUE
22	21346453	21346708	TRUE	53.5	TRUE	0.256	TRUE	1	TRUE	60.55	TRUE
22	21347033	21347243	FALSE	12	FALSE	0.211	TRUE	1	TRUE	64.93	TRUE
22	21347901	21348093	FALSE	20	FALSE	0.193	TRUE	1	TRUE	63.73	TRUE
22	21348163	21348608	TRUE	27	TRUE	0.446	TRUE	1	TRUE	67.94	TRUE
22	21348797	21349066	TRUE	63.5	TRUE	0.27	TRUE	1	TRUE	64.07	TRUE
22	21349109	21349365	TRUE	95.5	TRUE	0.257	TRUE	1	TRUE	61.87	TRUE
22	21349985	21350451	TRUE	151.5	TRUE	0.467	TRUE	1	TRUE	62.74	TRUE
22	21350935	21351305	TRUE	94.5	TRUE	0.371	TRUE	1	TRUE	61.19	TRUE
22	21351471	21351687	TRUE	57	TRUE	0.217	TRUE	1	TRUE	63.13	TRUE
22	21354119	21354771	TRUE	73.5	TRUE	0.653	TRUE	1	TRUE	65.08	TRUE
22	21354886	21355126	TRUE	173	TRUE	0.241	TRUE	1	TRUE	58.92	TRUE
22	21355495	21355750	TRUE	98.5	TRUE	0.256	TRUE	1	TRUE	65.23	TRUE
22	21356071	21356250	FALSE	2	FALSE	0.18	TRUE	1	TRUE	68.89	TRUE
22	21369444	21369677	TRUE	148	TRUE	0.234	TRUE	0.957858769931663	TRUE	60.26	TRUE
22	21370181	21370431	FALSE	7.5	FALSE	0.251	TRUE	0.953049370764763	TRUE	59.36	TRUE
22	21372227	21372399	TRUE	24	TRUE	0.173	TRUE	0.994351558969724	TRUE	57.23	TRUE
22	21376914	21377090	FALSE	18	FALSE	0.177	TRUE	1	TRUE	66.67	TRUE
22	21377181	21377957	TRUE	377	TRUE	0.777	TRUE	1	TRUE	58.94	TRUE
22	21380044	21380237	FALSE	9	FALSE	0.194	TRUE	1	TRUE	64.43	TRUE
22	21380249	21380415	FALSE	13	FALSE	0.167	TRUE	1	TRUE	64.67	TRUE
22	21380490	21380956	TRUE	37.5	TRUE	0.467	TRUE	1	TRUE	61.03	TRUE
22	21383294	21383569	TRUE	57	TRUE	0.276	TRUE	1	TRUE	62.68	TRUE
22	21383575	21383783	TRUE	74	TRUE	0.209	TRUE	1	TRUE	61.72	TRUE
22	21383950	21384690	TRUE	126.5	TRUE	0.741	TRUE	1	TRUE	62.08	TRUE
22	21385070	21386151	TRUE	168	TRUE	1.082	TRUE	1	TRUE	62.94	TRUE
22	21797070	21797196	FALSE	1	FALSE	0.127	TRUE	0.559588686131387	FALSE	72.44	TRUE
22	21799161	21801082	TRUE	477	TRUE	1.922	TRUE	1	TRUE	65.09	TRUE
22	21921983	21922110	FALSE	3	FALSE	0.128	TRUE	1	TRUE	66.41	TRUE
22	21947100	21947295	TRUE	89.5	TRUE	0.196	TRUE	0.999847908745247	TRUE	40.82	TRUE
22	21965096	21965382	TRUE	99	TRUE	0.287	TRUE	0.980450258449304	TRUE	46.69	TRUE
22	21975754	21976008	TRUE	80	TRUE	0.255	TRUE	0.948001107639875	TRUE	49.41	TRUE
22	21982657	21983126	TRUE	80	TRUE	0.47	TRUE	1	TRUE	67.66	TRUE
22	21983249	21983526	FALSE	1	FALSE	0.278	TRUE	1	TRUE	73.38	TRUE
22	21983547	21983746	FALSE	7	FALSE	0.2	TRUE	1	TRUE	68	TRUE
22	21983841	21984353	TRUE	31	TRUE	0.513	TRUE	1	TRUE	72.32	TRUE
22	21987420	21987592	FALSE	2	FALSE	0.173	TRUE	1	TRUE	65.9	TRUE
22	21988261	21988909	TRUE	383	TRUE	0.649	TRUE	1	TRUE	63.48	TRUE
22	21988924	21989605	TRUE	408.5	TRUE	0.682	TRUE	1	TRUE	61.29	TRUE
22	21990671	21991352	TRUE	244	TRUE	0.682	TRUE	1	TRUE	59.68	TRUE
22	21996576	21996862	FALSE	2	FALSE	0.287	TRUE	1	TRUE	73.52	TRUE
22	21997101	21997397	FALSE	5	FALSE	0.297	TRUE	1	TRUE	69.7	TRUE
22	21998133	21998514	TRUE	66.5	TRUE	0.382	TRUE	1	TRUE	59.69	TRUE
22	22020338	22020470	FALSE	11	FALSE	0.133	TRUE	1	TRUE	60.15	TRUE
22	22024151	22024301	TRUE	55.5	TRUE	0.151	TRUE	1	TRUE	45.7	TRUE
22	22024804	22024950	TRUE	135	TRUE	0.147	TRUE	1	TRUE	34.01	TRUE
22	22025235	22025398	TRUE	179.5	TRUE	0.164	TRUE	1	TRUE	46.95	TRUE
22	22026568	22026720	TRUE	54	TRUE	0.153	TRUE	1	TRUE	51.63	TRUE
22	22029302	22029454	TRUE	86.5	TRUE	0.153	TRUE	1	TRUE	45.1	TRUE
22	22035538	22035729	TRUE	65.5	TRUE	0.192	TRUE	1	TRUE	59.9	TRUE
22	22036676	22036865	TRUE	47	TRUE	0.19	TRUE	1	TRUE	60	TRUE
22	22037420	22037596	TRUE	100.5	TRUE	0.177	TRUE	1	TRUE	46.33	TRUE
22	22038992	22039252	TRUE	64	TRUE	0.261	TRUE	1	TRUE	57.09	TRUE
22	22040721	22040897	TRUE	48	TRUE	0.177	TRUE	1	TRUE	60.45	TRUE
22	22041131	22041337	TRUE	76	TRUE	0.207	TRUE	1	TRUE	63.77	TRUE
22	22041882	22042071	TRUE	100	TRUE	0.19	TRUE	1	TRUE	49.47	TRUE
22	22042311	22042445	TRUE	83	TRUE	0.135	TRUE	1	TRUE	62.22	TRUE
22	22042971	22043188	TRUE	81	TRUE	0.218	TRUE	1	TRUE	64.22	TRUE
22	22048054	22048211	TRUE	97.5	TRUE	0.158	TRUE	1	TRUE	58.86	TRUE
22	22048831	22049156	TRUE	123	TRUE	0.326	TRUE	1	TRUE	63.5	TRUE
22	22049176	22049409	TRUE	109	TRUE	0.234	TRUE	1	TRUE	65.81	TRUE
22	22049633	22049829	FALSE	18	FALSE	0.197	TRUE	1	TRUE	64.47	TRUE
22	22055368	22055557	TRUE	77	TRUE	0.19	TRUE	1	TRUE	38.95	TRUE
22	22057609	22057817	TRUE	59.5	TRUE	0.209	TRUE	1	TRUE	65.55	TRUE
22	22058077	22058221	FALSE	11	FALSE	0.145	TRUE	1	TRUE	62.76	TRUE
22	22064867	22065083	TRUE	211	TRUE	0.217	TRUE	1	TRUE	48.85	TRUE
22	22123443	22123659	TRUE	174.5	TRUE	0.217	TRUE	1	TRUE	41.01	TRUE
22	22127112	22127321	TRUE	91	TRUE	0.21	TRUE	1	TRUE	47.14	TRUE
22	22142496	22142727	TRUE	213	TRUE	0.232	TRUE	1	TRUE	35.34	TRUE
22	22142933	22143147	TRUE	92.5	TRUE	0.215	TRUE	1	TRUE	45.58	TRUE
22	22153251	22153467	TRUE	99	TRUE	0.217	TRUE	1	TRUE	40.55	TRUE
22	22160089	22160378	TRUE	226.5	TRUE	0.29	TRUE	1	TRUE	41.03	TRUE
22	22161903	22162185	TRUE	189	TRUE	0.283	TRUE	1	TRUE	40.99	TRUE
22	22221562	22221768	FALSE	0	FALSE	0.207	TRUE	1	TRUE	79.23	TRUE
22	22277415	22277894	TRUE	124	TRUE	0.48	TRUE	1	TRUE	65.21	TRUE
22	22279892	22280085	TRUE	40	TRUE	0.194	TRUE	1	TRUE	62.37	TRUE
22	22285470	22285712	TRUE	101.5	TRUE	0.243	TRUE	1	TRUE	62.14	TRUE
22	22287713	22288001	TRUE	58	TRUE	0.289	TRUE	1	TRUE	64.36	TRUE
22	22288346	22288648	FALSE	10	FALSE	0.303	TRUE	1	TRUE	62.38	TRUE
22	22293854	22294102	TRUE	22.5	TRUE	0.249	TRUE	1	TRUE	59.04	TRUE
22	22300165	22300470	TRUE	54.5	TRUE	0.306	TRUE	1	TRUE	66.34	TRUE
22	22311436	22312017	FALSE	14	FALSE	0.582	TRUE	0.5	FALSE	65.46	TRUE
22	22312814	22313115	TRUE	65.5	TRUE	0.302	TRUE	1	TRUE	61.26	TRUE
22	22313454	22313654	TRUE	61	TRUE	0.201	TRUE	1	TRUE	60.7	TRUE
22	22313909	22314158	TRUE	120	TRUE	0.25	TRUE	1	TRUE	61.6	TRUE
22	22314643	22314871	TRUE	54.5	TRUE	0.229	TRUE	1	TRUE	61.57	TRUE
22	22316751	22317024	TRUE	73	TRUE	0.274	TRUE	1	TRUE	66.79	TRUE
22	22317069	22317315	TRUE	63	TRUE	0.247	TRUE	1	TRUE	61.54	TRUE
22	22318245	22318450	TRUE	43	TRUE	0.206	TRUE	1	TRUE	62.14	TRUE
22	22318483	22318737	TRUE	60	TRUE	0.255	TRUE	1	TRUE	63.92	TRUE
22	22319607	22319797	TRUE	24	TRUE	0.191	TRUE	1	TRUE	54.97	TRUE
22	22321925	22322138	TRUE	99.5	TRUE	0.214	TRUE	1	TRUE	49.53	TRUE
22	22322941	22323197	TRUE	231.5	TRUE	0.257	TRUE	1	TRUE	47.86	TRUE
22	22324532	22324828	TRUE	48	TRUE	0.297	TRUE	1	TRUE	62.29	TRUE
22	22326198	22326373	TRUE	44.5	TRUE	0.176	TRUE	1	TRUE	57.95	TRUE
22	22326934	22327140	TRUE	38.5	TRUE	0.207	TRUE	1	TRUE	56.04	TRUE
22	22328679	22328910	TRUE	45	TRUE	0.232	TRUE	1	TRUE	57.33	TRUE
22	22329961	22330131	TRUE	41	TRUE	0.171	TRUE	1	TRUE	49.12	TRUE
22	22599175	22599725	TRUE	190.5	TRUE	0.551	TRUE	1	TRUE	60.44	TRUE
22	22842042	22843773	TRUE	1502.5	TRUE	1.732	TRUE	0.992713511070944	TRUE	40.53	TRUE
